adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Iraq,IRQ,43.766062,33.050139,,,,,,,,1
Ireland,IRL,-7.121425,53.252771,23.03.2020,https://www.rte.ie/news/business/2020/0323/1124759-stobart-air-services/,Aer Lingus,Aer Lingus Regional operator reduces schedule,,,,2
Ireland,IRL,-7.121425,53.252771,30.03.2020,https://www.routesonline.com/news/38/airlineroute/290555/ryanair-april-2020-operations-as-of-29mar20/,.Ryanair,Ryanair April 2020 operations as of 29MAR20,,,,3
Ireland,IRL,-7.121425,53.252771,09.04.2020,https://www.routesonline.com/news/38/airlineroute/290711/ryanair-extends-interim-schedule-to-early-may-2020/,.Ryanair,Ryanair extends interim schedule to early-May 2020 (routes from Dublin and London Stansted) ,,,,4
Ireland,IRL,-7.121425,53.252771,06.04.2020,Media,.Ryanair,Italian aviation authority allows Ryanair to operate 28 weekly flights between countries until 13 July amid COVID-19 concerns,,,,5
Ireland,IRL,-7.121425,53.252771,08.04.2020,https://www.coventrytelegraph.net/news/coventry-news/tui-announces-flights-holidays-start-18063024,.TUI,TUI reveals trips from 30 June set to go ahead as planned,,,,6
Ireland,IRL,-7.121425,53.252771,16.03.2020,Media,Aer Lingus,IAG’s airlines to reduce capacity by 75%,,,,7
Isle of Man,IMN,-4.537589,54.228634,,,,,,,,8
Israel,ISR,34.62278,31.061646,30.03.2020,https://www.timesofisrael.com/airlines-plan-to-resume-israel-routes-after-virus-grounds-travel/,.Wizz Air,"Wizz Air to resume some flights to London, Tel Aviv and Vienna in May ",,,,9
Israel,ISR,34.62278,31.061646,26.04.2020,https://www.reuters.com/article/health-coronavirus-el-al-arlns/israels-el-al-extends-passenger-flight-suspension-until-may-9-idUSL5N2CE07D,.EL AL,El Al Israel Airlines extends suspension of scheduled flights until 9 May,,,,10
Italy,ITA,12.573635,42.793176,20.04.2020,https://www.routesonline.com/news/38/airlineroute/290863/alitalia-week-of-19apr20-europedomestic-operations/,.Alitalia,Alitalia week of 19APR20 Europe/Domestic operations,,,,11
Italy,ITA,12.573635,42.793176,18.03.2020,https://worldairlinenews.com/2020/03/18/air-dolomiti-suspends-operations/,Air Dolomiti,Air Dolimiti suspends operations,,,,12
Italy,ITA,12.573635,42.793176,17.03.2020,https://www.alitalia.com/en_en/fly-alitalia/news-and-activities/news/info-flights.html,Alitalia,"Alitalia continue to operate flights on a reduced basis.  Alitalia passengers have until 31 May to change a flight reservation or ask for a ticket refund.
 -Flight departures from Italy: before departure, travellers must complete two copies of the self-certification form, specifying the reason for your trip (proven work requirements, situations of necessity or health purposes). This form is also mandatory for all Italian citizens or residents in Italy who travel to a Schengen or non-Schengen foreign country.A copy of the form must be handed over to the Airport Border Police staff at the time of departure, before the security checks.
Self-certification is not necessary for EU or non-EU citizens.If you need to travel from Italy to another country, also see the Coronavirus (COVID-19)
Travel Restrictions from Italy to check if there are any travel restrictions on entry your destination country. Please note this document will be updated on a regular basis.
 -Flights arriving to Italy: passengers of any nationality arriving in Rome must also complete the self-certification form.  Those who do not have it may request it from the Airport Border Police staff present at the airport or at the information points and check-in desks at the airport terminals.   To download the self-certification form copy and paste this link in your browser: https://www.esteri.it/mae/resource/doc/2020/04/modulo_rientro_da_estero_28mar20_eng.pdf 
From 16 March all Alitalia domestic flights from and to Milan operate from Milan Malpensa airport due to the temporary closure of Milan Linate airport. Flight check-in operations will be carried out at Terminal 2 of Malpensa airport.     Starting from 17 March, check-in operations for all Alitalia's domestic, international and intercontinental flights at Rome Fiumicino airport will be carried out at Terminal 3, following the temporary closure of Terminal 1 decided by the airport Authority.    Alitalia informs passengers that, before boarding, they will be required to have their own protective mask to be worn in case a large number of travelers on board would not allow to respect the 1-meter interpersonal safety distance.Alitalia could deny boarding to passengers who are not be in possession of their own personal protective device. Alitalia recommends travelers to wear a protective mask also while at airports and during boarding and disembarking from the aircraft.
",,,,13
Italy,ITA,12.573635,42.793176,16.04.2020,https://www.routesonline.com/news/38/airlineroute/290807/alitalia-may-2020-long-haul-operations-as-of-0330gmt-16apr20/,.Alitalia,Alitalia May 2020 Long-Haul operations as of 16APR20,,,,14
Italy,ITA,12.573635,42.793176,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290964/volotea-adds-olbia-bologna-service-from-july-2020/,.Volotea,Volotea adds Olbia – Bologna service from July 2020,,,,15
Jamaica,JAM,-77.310683,18.157878,,,,,,,,16
Jammu and Kashmir,"IND, PAK",75.804539,34.554501,,,,,,,,17
Japan,JPN,139.27161,36.655454,14.04.2020,https://www.postguam.com/business/local/japan-airlines-reduces-may-flights-by-94/article_00c0232c-7e21-11ea-9795-8f8e1bd55440.html,JAL,Japan Airlines suspends 94 percent of flights in May,,,,18
Japan,JPN,139.27161,36.655454,02.04.2020,https://www.routesonline.com/news/38/airlineroute/290598/spring-airlines-japan-further-reduces-international-service-in-april-2020/,.Spring Airlines Japan,Spring Airlines Japan further reduces International service in April 2020,,,,19
Japan,JPN,139.27161,36.655454,28.04.2020,https://www.routesonline.com/news/38/airlineroute/290994/spring-airlines-japan-aprilmay-2020-domestic-operations-as-of-23apr20/,.Spring Airlines Japan,Spring Airlines Japan April/May 2020 Domestic operations as of 23APR20,,,,20
Japan,JPN,139.27161,36.655454,21.04.2020,https://www.routesonline.com/news/38/airlineroute/290901/starflyer-week-of-21apr20-operations/,.StarFlyer,StarFlyer week of 21APR20 operations,,,,21
Japan,JPN,139.27161,36.655454,15.04.2020,https://www.routesonline.com/news/38/airlineroute/290793/jal-aprilmay-2020-international-operations-as-of-1815gmt-14apr20/,.JAL,JAL April/May 2020 International operations,,,,22
Japan,JPN,139.27161,36.655454,15.04.2020,https://www.routesonline.com/news/38/airlineroute/290792/ana-14apr20-15may20-international-operations-as-of-1800gmt-14apr20/,.ANA,ANA 14APR20 – 15MAY20 International operations,,,,23
