adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Kuril Islands,"RUS, JPN",147.877949,45.076156,,,,,,,1
Kuwait,KWT,47.492598,29.53972,21.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://kw.usembassy.gov/covid-19-information/
https://simpleflying.com/kuwait-passenger-flights/","Kuwait’s DGCA (Directorate General of Civil Aviation) has been instructed to allow all airlines to resume operations in order to allow expatriates the ability to exit the country. (Media, 10.04.2020)

As of March 13 flights to Kuwait are suspended.
- This does not apply to cargo, diplomatic, humanitarian or repatriation flights approved by the DGCA Air Transport Department.
- This does not apply to aircraft operated by Kuwait Air Force, Kuwait Police Wing and Kuwait Ameri Flight.
- This does not apply to aircraft exempted by the authority.
1. Passengers arriving from China (People's Rep.), Egypt, France, Germany, Hong Kong (SAR China), Iran, Iraq, Italy, Korea (Rep.), Spain, USA or United Kingdom are required to undergo 14 days compulsory quarantine.
2. Passengers arriving from a country other than China (People's Rep.), Egypt, France, Germany, Hong Kong (SAR China), Iran, Iraq, Italy, Korea (Rep.), Spain, USA or United Kingdom required to self-quarantine for 14 days. 

Internal restrictions: 
Nationwide curfew from 17.00 to 06.00 (local time) is in place until the start of the Holy month of Ramdan, tentatively beginning on 23 April. 
During Ramadan, the nationwide curfew will be between 16.00 to 08.00. These extended hours are set to begin on Friday, April 24, until the end of Ramadan, on approximately May 23. 
All government and private agencies will be closed until 31 May. 
Jeleeb Al-Shuyoukh and Mahboula areas in Kuwait city are in full lockdown. ",20200421,"As of March 24, Kuwaiti citizens and residents who enter Kuwait from any country will be put in institutional quarantine for two weeks upon arrival.",COVID-19 negative certification not required / not known,2
Kyrgyzstan,KGZ,74.523246,41.462046,14.04.2020,"Reuters
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
https://kg.usembassy.gov/covid-19-information/","The government of Kyrgyzstan announced extension of State of Emergency in the cities of Bishkek, Osh, and Jalal-Abad, Nookat and Kara-Suu Districts of Osh Oblast, and in the Suzak District of Jalal-Abad Oblast until 30 April. 
 The State of Emergency includes a full curfew from 8pm to 7am.  Outside of curfew hours, residents may leave their homes only to obtain groceries or medical care or to visit a pharmacy or bank. 

International restrictions:
›All foreign nationals will be barred entry into the country starting from 00.01 on 19 March.
›The following categories of foreign travellers are exempt from the inbound travel ban:
›Immediate family members of citizens of Kyrgyzstan (subject to confirmation of kinship);
›Foreign diplomatic and consular staff and their family members (given an advance notice of arrival to the Ministry of Foreign Affairs of Kyrgyzstan). 
›Members of train, locomotive and aircraft crews; freight drivers. 
›Kyrgyz Temir Zholu employees working in Kazakhstan and Uzbekistan. 
›All visa services have been suspended. 
›Entering the country or crossing at land borders with national IDs is temporarily suspended; this includes Kyrgyzstan residents. All residents are only allowed to enter Kyrgyzstan with valid passports.
›A state of emergency has been introduced in Jalal-Abad region
›The capital Bishkek's Manas (FRU) and Osh (OSS) international airports have health screening measures in place. 
›All land borders with China and Uzbekistan are closed. Borders with Kazakhstan remain open only for transportation of goods and movement of Kazakh and Kyrgyz citizens returning to the country of origin.
›Travellers (including Kyrgyz citizens) arriving from countries with more than 1,000 confirmed cases of COVID-19 will be subject to 14 day quarantine at a medical facility. All other travellers have to undergo mandatory 14-day home quarantine. 
›Vast number of international flights have been cancelled, including some regular flights from Bishkek to China, Iran, the UAE and Russia.




",20200414,"All travellers arriving from countries with more than 1,000 confirmed cases of COVID-19 will be subject to 14 day quarantine at a medical facility. ",COVID-19 negative certification not required / not known,3
Lao People's Democratic Republic,LAO,101.990197,20.274828,17.04.2020,"https://www.osac.gov/Content/Report/cc11d328-6a61-453e-8662-18387ca598a3
https://www.osac.gov/Content/Report/abd2af6f-8fc8-41ab-8461-1847bcd8b7c6
https://www.osac.gov/Content/Report/39411001-3e28-4652-b3b3-1851a0fe4fad
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening","The government has extended the nationwide lockdown until 3 May.
All international checkpoints will be closed, and all inbound and outbound passenger flights are suspended during this period.

On 17 March the Government of Laos declared that individuals not exhibiting COVID-19 symptoms entering Laos from a country without a common border with Laos but with more than 100 confirmed cases of COVID-19 are required to undertake 14 days of self-quarantine after entering Laos.   Individuals not exhibiting COVID-19 symptoms who enter Laos from a country with a common border with Laos and from a province of that country that also shares a border with Laos are required to undertake 14 days of self-quarantine if     Individuals not exhibiting COVID-19 symptoms who enter Laos from a country with a common border with Laos and from a province of that country that does not share a border with Laos are required to undertake 14 days of self-quarantine if the province from which they entered has more than 10 confirmed cases of COVID-19. Lao authorities will send all entrants exhibiting COVID-19 symptoms to a Vientiane hospital for  treatment.      

Travelers to Laos should be aware that there may be enhanced health screening at border crossings and at departure airports before boarding. You should allow additional time to include this possibility and check with your airline if travelling by air. 
      
All commercial flights between Vientiane and Bangkok will be discontinued after March 27 until further notice. Thai Airways will operate one flight on March 25 and another on March 27.     

International border crossings, traditional or official, will be closed for entrance or exit, with the exception of foreigners who want to return to their own country.

Internal restrictions: 
On March 29, The Lao Prime Minister issued a decree instructing all people in Laos, both Lao and foreign, to stay indoors between March 30 and April 19, except for local trips to purchase food, for medical care, or to work. Lao government staff are ordered to work from home. Some businesses, including hospitals, hotels, banks, grocery stores, and pharmacies, will remain open. Travel within Laos from provinces with confirmed cases of COVID-19 is prohibited. Public gatherings of more than 10 people are prohibited, except for funerals. All public transportation will be stopped.       
Lao Government Hospitals, which remain open to foreign travellers.                                                                                                                                                                                                                                         ",20200417,The GOL has prepared isolation rooms at some hospitals for handling suspected COVID-19 cases.,COVID-19 negative certification not required / not known,4
Latvia,LVA,26.424619,56.641966,21.04.2020,"https://lv.usembassy.gov/covid-19-information/
International SOS","All international travel, by air, railway, sea and road is cancelled. Latvians and foreigners with residency rights are allowed to enter the country, and tourists are allowed to leave.
All AirBaltic connections are suspended until 12 May. 
Borders are closed to entry except for citizens and residents. Lithuanians and Estonians are allowed to cross the border for work and are longer required to undergo a mandatory two-week quarantine. In order to cross the border, workers must show employment documents proving they have a job in Latvia.

Internal restrictions: 
A state of emergency is in place until 12 May. 
All public gatherings of more than two people have been banned (except if in the same household) and many public venues have been ordered to close. 
Schools and universities are currently closed. Pre-schools and childcare services are still in operation. ",20200421,"•Per Latvia’s Centre for Disease Prevention and Control (SPKC), any person, including children, with recent travel to any foreign country must monitor their health for 14 days, and must self-isolate and call the emergency hotline 8303 for those with mild symptoms  to apply for free testing. If you experience severe high body temperature, cough, sore throat, difficulty breathing, etc. please call 113.
•A hotline for COVID-19 questions: 8345
•A general physician hotline, available 24/7 for all medical issues except for COVID-19, call 6601 6001.
",COVID-19 negative certification not required / not known,5
Lebanon,LBN,35.894185,33.921586,25.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://lb.usembassy.gov/covid-19-information/
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening","Lebanon extends coronavirus lockdown to May 10 (Reuters, 25.04.2020)

Flights to Lebanon are suspended until 26 April 2020.
- This does not apply to search and rescue, state aircraft and emergency medical flights.
- This does not apply to diplomatic delegations working in Lebanon.
- This does not apply to International Organizations personnel. 
- This does not apply to UNIFIL forces and personnel working for companies associated with drilling operations in Block No. 4.
- This does not apply to military.

International restrictions: 
A curfew is in place from 21.00 to 05.00 until 10 May.
All air, land and sea ports are closed until at least 10 May under a ‘state of medical emergency’. This includes Rafic Hariri International AIrport (BEY) although some repatriation flights continue to be scheduled for citizens/residents abroad.
Vehicles with number plates ending with an odd number are only allowed on the roads on Mondays, Wednesdays and Fridays, while those ending with an even number (including zero) are allowed on Tuesdays, Thursdays and Saturdays. No vehicles are allowed to travel on Sundays. People can only leave their homes for essential purposes such as buying food or for medical needs.

",20200425,Travelers displaying symptoms of the virus and/or with travel histories indicating possible exposure may be detained for a 14-day quarantine,COVID-19 negative certification not required / not known,6
Lesotho,LSO,28.247043,-29.58314,22.04.2020,"https://www.gov.uk/foreign-travel-advice/lesotho/health#coronavirus
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening","All travellers arriving in Lesotho will be screened for coronavirus. Anyone showing symptoms of coronavirus may be placed in an isolation facility. You should comply with any additional screening measures by the authorities if asked to go through extra checks.
Individuals who have been in coronavirus affected areas within the past 14 days, including the UK, may be required to self-isolate for 14 days. 

Only five land border crossings between South Africa and Lesotho remain open: Caledonspoort (06:00-22:00), Maputsoe (24 hours), Maseru Bridge (24 hours), Qacha’s Nek (06:00-22:00) and Van Rooyen’s Gate (06:00-22:00). 

International restrictions:  
The country is on lockdown until 5 May. During this, all social gatherings will be prohibited except funerals. All shops and markets will close, apart from those selling food and medical supplies. Emergency services will continue throughout.  
",20200422,"Individuals who have been in coronavirus affected areas within the past 14 days, including the UK, may be required to self-isolate for 14 days. ",COVID-19 negative certification not required / not known,7
Liancourt Rock,"KOR, JPN",131.864842,37.241642,,,,,,,8
Liberia,LBR,-9.311921,6.448469,25.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening 
https://www.garda.com/crisis24/news-alerts/336071/liberia-president-extends-lockdown-measures-for-two-weeks-from-april-24-update-6","Lockdown measures extended for two weeks from April 24 to until May 8 (Garda, 25.04.2020). 

Flights to Liberia are suspended.
- This does not apply to aircraft in state of emergency, technical landing.
- This does not apply to humanitarian, medevac, Red Cross, repatriation, charter and special flights.
Land borders with Guinea and Cote d’Ivoire are closed.

Internal restrictions:
A state of emergency is in effect until 16 June. All 15 counties are quarantined until further notice. Movement between counties is strictly prohibited except for Montserrado and Margibi which are quarantined as a single unit.
Residents in Grand Kru County, Margibi County, Montserrado County and Nimba County will have to quarantine at home during the lockdown.
Residents may leave their homes for essential journeys only and be limited to a single person per household for a maximum of one hour. Citizens are recommended to wear a face mask in public.
All schools, places of worship, cinemas, bars and beaches will be closed until further notice. Gatherings of more than ten people are banned.",20200425,,COVID-19 negative certification not required / not known,9
Libya,LBY,18.029942,27.038767,27.03.2020,"UNHAS: sources
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening","The state of emergency remains in effect. Civil aviation in all Libyan airports is suspended until at least 9 May. Exemptions will be made for individuals who critically need medical attention abroad.
The previously announced 24-hour lockdown will be reduced into a 12-hour lockdown, from 18.00 to 06.00, beginning 28 April. It will remain in place for the remainder of Ramadan.
The Municipal Council of Misrata reduced its 24-hour lockdown. Daily curfew is in place from 14.00 to 07.00.
In eastern Libya, the parallel government led by Khalifa Belqasim Haftar reduced its total lockdown to a daily curfew from 19.00 to 07.00. In-city movement is prohibited. 

UNHAS flights are suspended.
",20200327,"The Ministry of Health has multiple designated quarantine sites where individuals can be held in quarantine for 14 days.

Libyan authorities are carrying out enhanced temperature screenings of passengers arriving at air, land, and sea ports of entry.

Travelers should be prepared for new quarantine restrictions to be put into effect with little or no advance notice.",COVID-19 negative certification not required / not known,10
