Countries and territories,Place,Start date,End date,Level
Albania,,2020-03-13,,National
Algeria,Algiers,2020-03-23[2],2020-04-19[3],City
Algeria,Blida,2020-03-23[2],2020-04-19[3],City
Argentina,,2020-03-19,2020-04-26,National
Armenia,,2020-03-24,2020-04-14,National
Australia,,2020-03-23,,National
Austria,,2020-03-16,2020-04-13,National
Azerbaijan,,2020-03-31,2020-04-20,National
Bangladesh,,2020-03-26,2020-04-25,National
Barbados,,2020-03-28,2020-05-03,National
Belarus,Minsk,2020-04-07[15],,City
Belgium,,2020-03-18,2020-04-19,National
Bermuda,,2020-04-04,2020-05-02,National
Bolivia,,2020-03-22,2020-04-15,National
Botswana,,2020-04-02,2020-04-30,National
Brazil,Santa Catarina,2020-03-17[22],2020-04-07[22],State
Brazil,São Paulo,2020-03-24,2020-04-08,
Chile,,2020-03-19,,National
Colombia,,2020-03-25,2020-04-27,National
Republic of the Congo,,2020-03-31,2020-04-20,National
Republic of the Congo,Costa Rica,2020-03-23,,National
Croatia,,2020-03-18,2020-04-19,National
Cuba,,2020-03-23,2020-04-20,National
Czech Republic,,2020-03-16,2020-04-12,National
Denmark,,2020-03-11,2020-04-13,National
Dominican Republic,,2020-03-19,,National
Ecuador,,2020-03-16,2020-03-31,National
El Salvador,,2020-03-12,2020-04-02,National
Eritrea,,2020-04-02,2020-04-23,National
Fiji,Lautoka,2020-03-20[38],2020-04-07[39],City
Fiji,Suva,2020-04-03,2020-04-17,
Finland,Uusimaa,2020-03-27[42],2020-04-16[42],Region
France,,2020-03-17,2020-05-11,National
Georgia,,2020-03-31,2020-04-21,National
Germany,,2020-03-23,2020-05-03,National
Ghana,Accra,2020-03-30[48],2020-04-12[49],Metropolitan Area
Ghana,Kumasi,2020-03-30[48],2020-04-12[49],Metropolitan Area
Greece,,2020-03-23,2020-04-27,National
Guernsey,,2020-03-25,,National
Honduras,Central District,2020-03-16[53],,Municipality
Honduras,La Ceiba,2020-03-16[53],,Municipality
Honduras,Choluteca,2020-03-16[53],,Municipality
Honduras,San Pedro Sula,2020-03-17,,
,,2020-03-20,2020-04-26,National
Hungary,,2020-03-28,2020-04-10,National
India,,2020-03-25,2020-05-03,National
Indonesia,Jakarta[a],2020-04-10[60],2020-05-22[61],Province
Indonesia,Tegal,2020-03-26,2020-07-31,City
Iraq,,2020-03-22,2020-04-11,National
