countryName,lockdownInfo,dateStr,date
Aruba," - At approximately 8pm AST, Aruba's Prime Minister Evelyn Wever-Croes announced that there would be a lockdown on all inbound international travel commencing at midnight of 16 March 2020 and ending 31 March 2020. An exception to this inbound travel lockdown would be granted to Aruba residents. A travel advisory would also be instituted for residents, advising against outbound travel at this time. To this date Aruba had two confirmed Corona Virus cases. It is important to note that this lockdown does not apply to outbound travel for international travelers currently in Aruba – they will be able to take their return flight home.
",15 March 2020,2020-03-15
Afghanistan,"On 22 March, Public Health Minister Ferozuddin Feroz urged the government to order the lockdown of the city of Herat at a press conference in Kabul.[29] Members of the Wolesi Jirga of Afghanistan's parliament decided to hold a general session once a week to avoid the spread of COVID-19.[111] The spokesperson of the Health Ministry, Wahidullah Mayar, announced that 449 suspected cases had been tested across 28 provinces up until 22 March. Most suspected cases were from Herat and Kabul.[112]
",22 March 2020,2020-03-22
Afghanistan,"On 26 March, the government announced the release of 10,000 prisoners that were aged over 55 to slow the spread of COVID-19 in the country. This also consisted of mainly women, youths and the critically ill.[118] Based on President Ashraf Ghani's decree, the prisoners would be released over the 10 following days. The release of prisoners did not include members of Islamist militant groups.[119][120] Also on that day, Afghan authorities extended the lockdown to Kabul, Kandahar, and Logar provinces.[121] Also on 26 March, the mayor of Mazar-i-Sharif said that in addition to closing restaurants in the city, disinfection of public places is also taking place.[122]
",26 March 2020,2020-03-26
Afghanistan,"On 27 March, it was announced that the Afghan cabinet had decided that the capital of Afghanistan, Kabul, would undergo lockdown from 28 March for three weeks. The lockdown will ensure that residents stay at home, avoiding all non-essential travel and gatherings. Residents would also need to provide valid reasons if they decide to leave their homes. All restaurants, hotels, sauna, cafes, public bathing centers, shrines, gyms, parks and other stores will remain closed for 3 weeks, except for grocery stores and banks.[123] It was also announced that all sport venues, shrines and other public gathering places would remain closed for the duration of lockdown in Kabul.[124] Public transport carrying more than 5 passengers will also be banned. Large educational institutes and wedding halls will be transformed into isolation centers to quarantine those who return from Iran for two weeks. A total of 70 military teams will patrol Kabul to identify people with symptoms.[125] On 4 April, officials from Balkh Province reported that Mazar-i-Sharif is under partial lockdown as public places were closed.[100]
",27 March 2020,2020-03-27
Afghanistan,"On 27 March, it was announced that the Afghan cabinet had decided that the capital of Afghanistan, Kabul, would undergo lockdown from 28 March for three weeks. The lockdown will ensure that residents stay at home, avoiding all non-essential travel and gatherings. Residents would also need to provide valid reasons if they decide to leave their homes. All restaurants, hotels, sauna, cafes, public bathing centers, shrines, gyms, parks and other stores will remain closed for 3 weeks, except for grocery stores and banks.[123] It was also announced that all sport venues, shrines and other public gathering places would remain closed for the duration of lockdown in Kabul.[124] Public transport carrying more than 5 passengers will also be banned. Large educational institutes and wedding halls will be transformed into isolation centers to quarantine those who return from Iran for two weeks. A total of 70 military teams will patrol Kabul to identify people with symptoms.[125] On 4 April, officials from Balkh Province reported that Mazar-i-Sharif is under partial lockdown as public places were closed.[100]
",27 March 2020,2020-03-27
Afghanistan,"On 27 March, it was announced that the Afghan cabinet had decided that the capital of Afghanistan, Kabul, would undergo lockdown from 28 March for three weeks. The lockdown will ensure that residents stay at home, avoiding all non-essential travel and gatherings. Residents would also need to provide valid reasons if they decide to leave their homes. All restaurants, hotels, sauna, cafes, public bathing centers, shrines, gyms, parks and other stores will remain closed for 3 weeks, except for grocery stores and banks.[123] It was also announced that all sport venues, shrines and other public gathering places would remain closed for the duration of lockdown in Kabul.[124] Public transport carrying more than 5 passengers will also be banned. Large educational institutes and wedding halls will be transformed into isolation centers to quarantine those who return from Iran for two weeks. A total of 70 military teams will patrol Kabul to identify people with symptoms.[125] On 4 April, officials from Balkh Province reported that Mazar-i-Sharif is under partial lockdown as public places were closed.[100]
",27 March 2020,2020-03-27
Afghanistan,"By 9 April, over 1,500 police officers had been deployed in Kabul.[126] The lockdown measures in Kabul Province were made stricter on 12 April. All main highways were closed, as the lockdown was extended for a further two weeks. The Ministry of Interior Affairs announced that there would be consequences for anyone that violates the lockdown.[127] On 17 April, the lockdown in Kabul Province was extended by three weeks until 9 May.[128][129]
",9 April 2020,2020-04-09
Afghanistan,"By 9 April, over 1,500 police officers had been deployed in Kabul.[126] The lockdown measures in Kabul Province were made stricter on 12 April. All main highways were closed, as the lockdown was extended for a further two weeks. The Ministry of Interior Affairs announced that there would be consequences for anyone that violates the lockdown.[127] On 17 April, the lockdown in Kabul Province was extended by three weeks until 9 May.[128][129]
",9 April 2020,2020-04-09
Afghanistan,"By 9 April, over 1,500 police officers had been deployed in Kabul.[126] The lockdown measures in Kabul Province were made stricter on 12 April. All main highways were closed, as the lockdown was extended for a further two weeks. The Ministry of Interior Affairs announced that there would be consequences for anyone that violates the lockdown.[127] On 17 April, the lockdown in Kabul Province was extended by three weeks until 9 May.[128][129]
",9 April 2020,2020-04-09
Afghanistan,"By 9 April, over 1,500 police officers had been deployed in Kabul.[126] The lockdown measures in Kabul Province were made stricter on 12 April. All main highways were closed, as the lockdown was extended for a further two weeks. The Ministry of Interior Affairs announced that there would be consequences for anyone that violates the lockdown.[127] On 17 April, the lockdown in Kabul Province was extended by three weeks until 9 May.[128][129]
",9 April 2020,2020-04-09
